 |ID|CJ|CI|RWLA|RWAR|RWB|RWCM|RWCN|RWDO|RWDT|RWEL|RWEND|RWFOR|RWFR|RWGT|RWIF|RWINT|RWIR|RWLB|RWLN|RWOF|RWOP|RWLO|RWPR|RWRAT|RWRD|RWSM|RWTH|RWTO|RWTP|RWV|RWWR|RWCX|RWFUN|RWIM|RWRE|RWINTOP|RWPRC|RWDN|RWN|OPPLUS|OPMINUS|OPMUL|OPDIV|OPGT|OPLT|OPGE|OPLE|OPEQ|OPNE|OPAS|SRLP|SRRP|SRLB|SRRB|SRSM|SRCN|SRSP|SRCA|SRLCB|SRRCB|TEXT||ERROR|ENDOFFILE|ENDOFFILE
Var3|||[CJ]||[EPSILON]|||[EPSILON]||[EPSILON]|[EPSILON]||[EPSILON]|||||||||||[EPSILON]|||||[EPSILON]|[EPSILON]||||||||||||[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|||[EPSILON]||[EPSILON]|[EPSILON]||[SRSP, CI, Var2]|[EPSILON]||[EPSILON]|||||
Var4|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
VarSection||||||||||||||||||||||||||||||||[RWV, VarSection1, VarSection2]|||||||||||||||||||||||||||||||||||
VarSection1||[IdList, SRCN, Type, SRSM]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
VarSection2||[VarSection1, VarSection2]|||[EPSILON]||[EPSILON]|[EPSILON]|[EPSILON]||||||[EPSILON]||||[EPSILON]|[EPSILON]|[EPSILON]||[EPSILON]|[EPSILON]||||[EPSILON]|||[EPSILON]|[EPSILON]|||[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|||[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|||||||[EPSILON]|||||||||||||||
||[ID]||||||||||||||||[ConcreteType]||||||||[ConcreteType]||||||||[ConcreteType]|||||||||||||||||||||||||||||||||
||[EPSILON]|||||[EPSILON]||||||[EPSILON]|[EPSILON]||[EPSILON]|[EPSILON]||||||||||[EPSILON]||||||[EPSILON]||||||||||||||||||||||||[EPSILON]||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||[EPSILON]|||[EPSILON]||[EPSILON]|[EPSILON]||[EPSILON]|||||||||||[EPSILON]|||||[EPSILON]|[EPSILON]||||||||||||[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]||[EPSILON]|[SRLB, Expression, SRRB, ]|[EPSILON]|[EPSILON]||[SRSP, ID, ]|[EPSILON]||[EPSILON]|||||
|||||[EPSILON]|||[RWCM, Factor, ]||[EPSILON]|[EPSILON]||[EPSILON]|||||||||||[EPSILON]|||||[EPSILON]|[EPSILON]||||||||||||[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|||[EPSILON]||[EPSILON]|[EPSILON]|||[EPSILON]||[EPSILON]|||||
||||||||||||||||||||||||[RWLO]|||||||||||||||||||||||||||||||||||||||||||
|||||[RWLA]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
